"Region","Segment","Family","Subfamily","BeforePkg","AfterPkg","year","monthseq","forecast","priorforecast","actual"
"R031","S17","F033","SF101","B345","A001",2012,1,89679,89679,117138
"R031","S17","F033","SF101","B345","A001",2012,2,148523,148523,96224
"R031","S17","F033","SF101","B345","A001",2012,3,114196,114196,238978
"R031","S17","F033","SF101","B345","A001",2012,4,101900,101900,220154
"R031","S17","F033","SF101","B345","A001",2012,5,101451,101451,241160
"R031","S17","F033","SF101","B345","A001",2012,6,224872,224872,92936
"R031","S17","F033","SF101","B345","A001",2012,7,258142,258142,81878
"R031","S17","F033","SF101","B345","A001",2012,8,180214,180214,98004
"R031","S17","F033","SF101","B345","A001",2012,9,144059,144059,170994
"R031","S17","F033","SF101","B345","A001",2012,10,113713,113713,88472
"R031","S17","F033","SF101","B345","A001",2012,11,122798,122798,119306
"R031","S17","F033","SF101","B345","A001",2012,12,110892,110892,179192
"R031","S17","F033","SF101","B345","A001",2013,1,109864,109864,163502
"R031","S17","F033","SF101","B345","A001",2013,2,103201,103201,186808
"R031","S17","F033","SF101","B345","A001",2013,3,109690,109690,133880
"R031","S17","F033","SF101","B345","A001",2013,4,111304,111304,88484
"R031","S17","F033","SF101","B345","A001",2013,5,112854,112854,118796
"R031","S17","F033","SF101","B345","A001",2013,6,114710,114710,142528
"R031","S17","F033","SF101","B345","A001",2013,7,111988,111988,107458
"R031","S17","F033","SF101","B345","A001",2013,8,109267,109267,108426
"R031","S17","F033","SF101","B345","A001",2013,9,106547,106547,164136
"R031","S17","F033","SF101","B345","A001",2013,10,114356,114356,250228
"R031","S17","F033","SF101","B345","A001",2013,11,114070,114070,178528
"R031","S17","F033","SF101","B345","A001",2013,12,120356,120356,235696
"R031","S17","F033","SF101","B345","A001",2014,1,131591,210288,213288
"R031","S17","F033","SF101","B345","A001",2014,2,134864,134864,118758
"R031","S17","F033","SF101","B345","A001",2014,3,145897,145897,131760
"R031","S17","F033","SF101","B345","A001",2014,4,160593,160593,122942
"R031","S17","F033","SF101","B345","A001",2014,5,154994,154994,88076
"R031","S17","F033","SF101","B345","A001",2014,6,160599,160599,111684
"R031","S17","F033","SF101","B345","A001",2014,7,162294,162294,124826
"R031","S17","F033","SF101","B345","A001",2014,8,154926,154926,117452
"R031","S17","F033","SF101","B345","A001",2014,9,121056,121056,61948
"R031","S17","F033","SF101","B345","A001",2014,10,121058,121058,15968
"R031","S17","F033","SF101","B345","A001",2014,11,121055,121055,0
"R031","S17","F033","SF101","B345","A001",2014,12,121056,121056,0
